"","x"
"1442","MM558"
"1443","MM557"
"1444","MM556"
"1445","MM555"
"1446","MM554"
"1447","MM553"
"1448","MM552"
"1449","MM551"
"1450","MM550"
"1451","MM549"
"1452","MM548"
"1453","MM547"
"1454","MM546"
"1455","MM545"
"1456","MM544"
"1457","MM543"
"1458","MM542"
"1459","MM541"
"1460","MM540"
"1461","MM539"
"1462","MM538"
"1463","MM537"
"1464","MM536"
"1465","MM535"
"1466","MM534"
"1467","MM533"
"1468","MM532"
"1469","MM531"
"1470","MM530"
"1471","MM529"
"1472","MM528"
"1473","MM527"
"1474","MM526"
"1475","MM525"
"1476","MM524"
"1477","MM523"
"1478","MM522"
"1479","MM521"
"1480","MM520"
"1481","MM519"
"1482","MM518"
"1483","MM517"
"1484","MM516"
"1485","MM515"
"1486","MM514"
"1487","MM513"
"1488","MM512"
"1489","MM511"
"1490","MM510"
"1491","MM509"
"1492","MM508"
"1493","MM507"
"1494","MM506"
"1495","MM505"
"1496","MM504"
"1497","MM503"
"1498","MM502"
"1499","MM501"
"1500","MM500"
"1501","MM499"
"1502","MM498"
"1503","MM497"
"1504","MM496"
"1505","MM495"
"1506","MM494"
"1507","MM493"
"1508","MM492"
"1509","MM491"
"1510","MM490"
"1511","MM489"
"1512","MM488"
"1513","MM487"
"1514","MM486"
"1515","MM485"
"1516","MM484"
"1517","MM483"
"1518","MM482"
"1519","MM481"
"1520","MM480"
"1521","MM479"
"1522","MM478"
"1523","MM477"
"1524","MM476"
"1525","MM475"
"1526","MM474"
"1527","MM473"
"1528","MM472"
"1529","MM471"
"1530","MM470"
"1531","MM469"
"1532","MM468"
"1533","MM467"
"1534","MM466"
"1535","MM465"
"1536","MM464"
"1537","MM463"
"1538","MM462"
"1539","MM461"
"1540","MM460"
"1541","MM459"
"1542","MM458"
"1543","MM457"
"1544","MM456"
"1545","MM455"
"1546","MM454"
"1547","MM453"
"1548","MM452"
"1549","MM451"
"1550","MM450"
"1551","MM449"
"1552","MM448"
"1553","MM447"
"1554","MM446"
"1555","MM445"
"1556","MM444"
"1557","MM443"
"1558","MM442"
"1559","MM441"
"1560","MM440"
"1561","MM439"
"1562","MM438"
"1563","MM437"
"1564","MM436"
"1565","MM435"
"1566","MM434"
"1567","MM433"
"1568","MM432"
"1569","MM431"
"1570","MM430"
"1571","MM429"
"1572","MM428"
"1573","MM427"
"1574","MM426"
"1575","MM425"
"1576","MM424"
"1577","MM423"
"1578","MM422"
"1579","MM421"
"1580","MM420"
"1581","MM419"
"1582","MM418"
"1583","MM417"
"1584","MM416"
"1585","MM415"
"1586","MM414"
"1587","MM413"
"1588","MM412"
"1589","MM411"
"1590","MM410"
"1591","MM409"
"1592","MM408"
"1593","MM407"
"1594","MM406"
"1595","MM405"
"1596","MM404"
"1597","MM403"
"1598","MM402"
"1599","MM401"
"1600","MM400"
"1601","MM399"
"1602","MM398"
"1603","MM397"
"1604","MM396"
"1605","MM395"
"1606","MM394"
"1607","MM393"
"1608","MM392"
"1609","MM391"
"1610","MM390"
"1611","MM389"
"1612","MM388"
"1613","MM387"
"1614","MM386"
"1615","MM385"
"1616","MM384"
"1617","MM383"
"1618","MM382"
"1619","MM381"
"1620","MM380"
"1621","MM379"
"1622","MM378"
"1623","MM377"
"1624","MM376"
"1625","MM375"
"1626","MM374"
"1627","MM373"
"1628","MM372"
"1629","MM371"
"1630","MM370"
"1631","MM369"
"1632","MM368"
"1633","MM367"
"1634","MM366"
"1635","MM365"
"1636","MM364"
"1637","MM363"
"1638","MM362"
"1639","MM361"
"1640","MM360"
"1641","MM359"
"1642","MM358"
"1643","MM357"
"1644","MM356"
"1645","MM355"
"1646","MM354"
"1647","MM353"
"1648","MM352"
"1649","MM351"
"1650","MM350"
"1651","MM349"
"1652","MM348"
"1653","MM347"
"1654","MM346"
"1655","MM345"
"1656","MM344"
"1657","MM343"
"1658","MM342"
"1659","MM341"
"1660","MM340"
"1661","MM339"
"1662","MM338"
"1663","MM337"
"1664","MM336"
"1665","MM335"
"1666","MM334"
"1667","MM333"
"1668","MM332"
"1669","MM331"
"1670","MM330"
"1671","MM329"
"1672","MM328"
"1673","MM327"
"1674","MM326"
"1675","MM325"
"1676","MM324"
"1677","MM323"
"1678","MM322"
"1679","MM321"
"1680","MM320"
"1681","MM319"
"1682","MM318"
"1683","MM317"
"1684","MM316"
"1685","MM315"
"1686","MM314"
"1687","MM313"
"1688","MM312"
"1689","MM311"
"1690","MM310"
"1691","MM309"
"1692","MM308"
"1693","MM307"
"1694","MM306"
"1695","MM305"
"1696","MM304"
"1697","MM303"
"1698","MM302"
"1699","MM301"
"1700","MM300"
"1701","MM299"
"1702","MM298"
"1703","MM297"
"1704","MM296"
"1705","MM295"
"1706","MM294"
"1707","MM293"
"1708","MM292"
"1709","MM291"
"1710","MM290"
"1711","MM289"
"1712","MM288"
"1713","MM287"
"1714","MM286"
"1715","MM285"
"1716","MM284"
"1717","MM283"
"1718","MM282"
"1719","MM281"
"1720","MM280"
"1721","MM279"
"1722","MM278"
"1723","MM277"
"1724","MM276"
"1725","MM275"
"1726","MM274"
"1727","MM273"
"1728","MM272"
"1729","MM271"
"1730","MM270"
"1731","MM269"
"1732","MM268"
"1733","MM267"
"1734","MM266"
"1735","MM265"
"1736","MM264"
"1737","MM263"
"1738","MM262"
"1739","MM261"
"1740","MM260"
"1741","MM259"
"1742","MM258"
"1743","MM257"
"1744","MM256"
"1745","MM255"
"1746","MM254"
"1747","MM253"
"1748","MM252"
"1749","MM251"
"1750","MM250"
"1751","MM249"
"1752","MM248"
"1753","MM247"
"1754","MM246"
"1755","MM245"
"1756","MM244"
"1757","MM243"
"1758","MM242"
"1759","MM241"
"1760","MM240"
"1761","MM239"
"1762","MM238"
"1763","MM237"
"1764","MM236"
"1765","MM235"
"1766","MM234"
"1767","MM233"
"1768","MM232"
"1769","MM231"
"1770","MM230"
"1771","MM229"
"1772","MM228"
"1773","MM227"
"1774","MM226"
"1775","MM225"
"1776","MM224"
"1777","MM223"
"1778","MM222"
"1779","MM221"
"1780","MM220"
"1781","MM219"
"1782","MM218"
"1783","MM217"
"1784","MM216"
"1785","MM215"
"1786","MM214"
"1787","MM213"
"1788","MM212"
"1789","MM211"
"1790","MM210"
"1791","MM209"
"1792","MM208"
"1793","MM207"
"1794","MM206"
"1795","MM205"
"1796","MM204"
"1797","MM203"
"1798","MM202"
"1799","MM201"
"1800","MM200"
"1801","MM199"
"1802","MM198"
"1803","MM197"
"1804","MM196"
"1805","MM195"
"1806","MM194"
"1807","MM193"
"1808","MM192"
"1809","MM191"
"1810","MM190"
"1811","MM189"
"1812","MM188"
"1813","MM187"
"1814","MM186"
"1815","MM185"
"1816","MM184"
"1817","MM183"
"1818","MM182"
"1819","MM181"
"1820","MM180"
"1821","MM179"
"1822","MM178"
"1823","MM177"
"1824","MM176"
"1825","MM175"
"1826","MM174"
"1827","MM173"
"1828","MM172"
"1829","MM171"
"1830","MM170"
"1831","MM169"
"1832","MM168"
"1833","MM167"
"1834","MM166"
"1835","MM165"
"1836","MM164"
"1837","MM163"
"1838","MM162"
"1839","MM161"
"1840","MM160"
"1841","MM159"
"1842","MM158"
"1843","MM157"
"1844","MM156"
"1845","MM155"
"1846","MM154"
"1847","MM153"
"1848","MM152"
"1849","MM151"
"1850","MM150"
"1851","MM149"
"1852","MM148"
"1853","MM147"
"1854","MM146"
"1855","MM145"
"1856","MM144"
"1857","MM143"
"1858","MM142"
"1859","MM141"
"1860","MM140"
"1861","MM139"
"1862","MM138"
"1863","MM137"
"1864","MM136"
"1865","MM135"
"1866","MM134"
"1867","MM133"
"1868","MM132"
"1869","MM131"
"1870","MM130"
"1871","MM129"
"1872","MM128"
"1873","MM127"
"1874","MM126"
"1875","MM125"
"1876","MM124"
"1877","MM123"
"1878","MM122"
"1879","MM121"
"1880","MM120"
"1881","MM119"
"1882","MM118"
"1883","MM117"
"1884","MM116"
"1885","MM115"
"1886","MM114"
"1887","MM113"
"1888","MM112"
"1889","MM111"
"1890","MM110"
"1891","MM109"
"1892","MM108"
"1893","MM107"
"1894","MM106"
"1895","MM105"
"1896","MM104"
"1897","MM103"
"1898","MM102"
"1899","MM101"
"1900","MM100"
"1901","MM99"
"1902","MM98"
"1903","MM97"
"1904","MM96"
"1905","MM95"
"1906","MM94"
"1907","MM93"
"1908","MM92"
"1909","MM91"
"1910","MM90"
"1911","MM89"
"1912","MM88"
"1913","MM87"
"1914","MM86"
"1915","MM85"
"1916","MM84"
"1917","MM83"
"1918","MM82"
"1919","MM81"
"1920","MM80"
"1921","MM79"
"1922","MM78"
"1923","MM77"
"1924","MM76"
"1925","MM75"
"1926","MM74"
"1927","MM73"
"1928","MM72"
"1929","MM71"
"1930","MM70"
"1931","MM69"
"1932","MM68"
"1933","MM67"
"1934","MM66"
"1935","MM65"
"1936","MM64"
"1937","MM63"
"1938","MM62"
"1939","MM61"
"1940","MM60"
"1941","MM59"
"1942","MM58"
"1943","MM57"
"1944","MM56"
"1945","MM55"
"1946","MM54"
"1947","MM53"
"1948","MM52"
"1949","MM51"
"1950","MM50"
"1951","MM49"
"1952","MM48"
"1953","MM47"
"1954","MM46"
"1955","MM45"
"1956","MM44"
"1957","MM43"
"1958","MM42"
"1959","MM41"
"1960","MM40"
"1961","MM39"
"1962","MM38"
"1963","MM37"
"1964","MM36"
"1965","MM35"
"1966","MM34"
"1967","MM33"
"1968","MM32"
"1969","MM31"
"1970","MM30"
"1971","MM29"
"1972","MM28"
"1973","MM27"
"1974","MM26"
"1975","MM25"
"1976","MM24"
"1977","MM23"
"1978","MM22"
"1979","MM21"
"1980","MM20"
"1981","MM19"
"1982","MM18"
"1983","MM17"
"1984","MM16"
"1985","MM15"
"1986","MM14"
"1987","MM13"
"1988","MM12"
"1989","MM11"
"1990","MM10"
"1991","MM9"
"1992","MM8"
"1993","MM7"
"1994","MM6"
"1995","MM5"
"1996","MM4"
"1997","MM3"
"1998","MM2"
"1999","MM1"
"2000","YY1"
